category_id,image_path,technique_used,notes,ground_truth,human_guesses,ai_guess,ai_confidence,ai_reasoning,created_at
61,61/61_1.jpg,,,flashlight,"Battery, Flashlight, Flashlight",bolt,75,It looks like a bolt.,2025-06-24T20:51:15.258398+00:00
57,57/57_1.jpg,,,father,"Father, Yoga, A potato, Father",entertainer,50,The drawing looks like someone who is trying to entertain!,2025-06-25T22:50:13.780232+00:00
64,64/64_1.jpg,,,LEGO,"Lego, Person, Coat, 👨🏿‍🦰",UPS,44,Looks like a delivery person carrying a package.,2025-06-25T23:36:43.386671+00:00
56,56/56_1.jpg,,,kicking,"Kicking, Kicking, Soccer, Kicking",tanning,82,The person is getting a tan!,2025-06-26T20:40:57.157568+00:00
69,69/69_0.jpg,,,telescope,"Microscope, Telescope, Microscope",cell,78,"It looks like a device used to observe tiny things, like a cell.",2025-06-27T18:27:47.899305+00:00
61,61/61_2.jpg,,,axe,"Axe, Tree stump",stool,70,It looks like a stool with a swirly pattern on top!,2025-06-28T17:17:49.750011+00:00
56,56/56_2.jpg,,,rowing,"Kayaking, Rowing, Carot, Eating",scribbling,82,It looks like someone is just scribbling on the paper!,2025-06-28T18:51:57.767675+00:00
60,60/60_1.jpg,,,pudding,"Pudding, Soup, Noodles",noodles,70,"It looks like a bowl of noodles, ready to be eaten!",2025-06-29T18:29:00.328715+00:00
72,72/72_2.jpg,,,Snow White,"Ninja turtles, Snow white, Angry bird",Karate Kid,60,The stance reminds me of a karate pose!,2025-06-29T21:40:47.698729+00:00
55,55/55_3.jpg,,,cow,"Cow, Cow, Cow",worm,8,Looks like a worm that's been flattened by a cartoon character!,2025-06-29T22:35:28.015273+00:00
72,72/72_3.jpg,,,Spider-Man,"Spiderman, Z, Spiderman, Spiderman",Chaos,45,Looks like a scene of utter chaos and disorder!,2025-06-30T21:52:47.464763+00:00
72,72/72_4.jpg,,,Superman,"?, Super man, Superman, Superman",Television,60,It's a TV showing a person! Simple as that!,2025-07-02T20:11:07.553806+00:00
60,60/60_2.jpg,,,ketchup,"Ketchup, Currywurst, Curry",pho,82,It looks like a bowl of Vietnamese noodle soup.,2025-05-28T02:15:35.891951+00:00
71,71/71_0.jpg,,,Fortnite,"Fortnite, Pokemon?",Gems of War,40,"It looks like a gem with a face, so maybe it's Gems of War?",2025-07-01T18:12:36.159639+00:00
56,56/56_3.jpg,,,writing,"Writing, Who knows, Writing, Girl",diving,70,"Looks like someone is diving into a pool, or maybe just floating?",2025-07-02T18:51:16.034269+00:00
57,57/57_2.jpg,,,gymnast,"Surfer, Gymnast, Gymnast, Gymnast",swimmer,75,Looks like someone swimming in the ocean!,2025-07-03T18:32:10.683791+00:00
65,65/65_0.jpg,,,North Korea,"North korea..., North korea, Japan",Morocco,78,"Hmm... ""Your Mom"" sounds like Morocco! It's a bit of a stretch, I admit.",2025-07-03T19:21:16.795187+00:00
60,60/60_3.jpg,,,eggplant,"Eggplant, Eggplant, Seed sprout, Potato seed",flower,15,"The drawing looks like a flower, maybe with a stem and petals!",2025-07-04T20:25:45.023366+00:00
65,65/65_1.jpg,,,Bangladesh,"Canada, Bangladesh, Vietnam, Usa",Korea,80,The circle in the middle reminds me of the Korean flag.,2025-07-05T22:24:37.327724+00:00
61,61/61_3.jpg,,,book,"Window, Window, Window, Book",futon,55,"Looks like a futon, ready to be unfolded for a guest!",2025-07-06T23:06:46.904123+00:00
55,55/55_4.jpg,,,walrus,"Ghydg, Falling, Walrus, Octopus",tadpole,82,Looks like a tadpole with a tail!,2025-07-07T20:28:05.832739+00:00
57,57/57_3.jpg,,,farmer,"Farmer, farmer",nope,35,The drawing looks like a series of 'n's. Nope starts with 'n'!,2025-07-07T23:55:19.417752+00:00
65,65/65_2.jpg,,,United Arab Emirates,"Puru, Paru, United arab emirates, Paru",New Zealand,44,"The shape looks like a kiwi, which is from New Zealand.",2025-07-08T20:25:26.058283+00:00
59,59/59_4.jpg,,,movie theater,"Movie theater, Laptop",Room,89,The word 'room' is written on the side.,2025-07-09T18:49:23.957194+00:00
60,60/60_4.jpg,,,spaghetti,"Pasta, Spaghetti, Pasta",scribbles,75,It looks like a bunch of scribbles!,2025-07-09T18:53:13.28826+00:00
68,68/68_0.jpg,,,Ramadan,"Dinner, Ramadan",Boycott,89,Maybe it's a boycott against unhealthy foods. Pizza and donuts are the targets!,2025-07-11T01:39:51.406769+00:00
71,71/71_1.jpg,,,Kirby,"Kirby, Kirby, Kirby, Kirby",Rainbow Road,82,The rainbow makes me think of a colorful race track!,2025-07-11T03:20:29.5675+00:00
56,56/56_4.jpg,,,drinking,"Reading, Drinking, Drinking, Block",filming,85,The stick figure is holding a camera to film something!,2025-07-11T21:19:21.61779+00:00
59,59/59_5.jpg,,,waterfall,"Waterfall, Water, Waterfall",scribbled-over,90,Hmm... It looks like someone went wild with the pen!,2025-07-13T18:39:42.373449+00:00
64,64/64_2.jpg,,,McDonald's,"Bag, Happy meel, Mcdonalds",Cartoon Network,75,It looks like a cartoon character!,2025-07-13T23:34:30.959113+00:00
57,57/57_4.jpg,,,spy,"Spy, Super hero",performer,70,"The figure is in a spotlight, so it could be any kind of performer!",2025-07-14T23:33:00.441997+00:00
60,60/60_5.jpg,,,chocolate,"Chocolate, Pig, Milk",pancake,40,It looks like a pancake with a grid pattern.,2025-07-16T19:57:59.788484+00:00
61,61/61_4.jpg,,,brick,"Bic, Brick, Hair, Brick",haystack,82,It looks like a messy haystack!,2025-07-16T20:59:53.537478+00:00
72,72/72_5.jpg,,,The Matrix,"The matrix, The matrix, The matrix, The matrix",Casper,75,It looks like Casper the friendly ghost!,2025-07-16T21:23:58.047709+00:00
71,71/71_2.jpg,,,Monster Hunter,"Mine craft, Monsterhunter, Monster hunter, Monster hunter",Phasmophobia,80,The word 'Tasmac' looks like 'Phasm' which is related to ghosts.,2025-07-17T22:47:41.180266+00:00
61,61/61_5.jpg,,,bottle,"Lamp, Bottle, Bottle, Bottle",water pump,70,It looks like a water pump with a muscular body.,2025-07-18T01:53:17.661499+00:00
59,59/59_6.jpg,,,police station,"Police station, Garage, Police staion, House",garage,55,Looks like a garage with a car inside.,2025-07-18T21:17:19.561102+00:00
60,60/60_6.jpg,,,coconut,"Coconut, Watermelon, Pan dulce, Hole",cantaloupe,77,"It's round and has lines, like a cantaloupe! A sweet treat.",2025-07-19T19:53:58.261022+00:00
61,61/61_6.jpg,,,stapler,Stapler,paper airplane,80,It looks like a paper airplane!,2025-07-20T19:16:08.470939+00:00
71,71/71_3.jpg,,,Genshin Impact,"Genshin impact, Person with stick, King",Elden Ring,40,"A lone warrior with a sword, wandering a dangerous land.",2025-07-21T18:25:52.671591+00:00
59,59/59_7.jpg,,,bowling alley,"Dxfgoiftdjjklrgfnuilbfdsfhkirebfiue,sbaf, Castle, Poop, Bowling alley",water park,82,"It looks like a water slide and a pool, so maybe a water park?",2025-07-21T21:38:58.114851+00:00
58,58/58_0.jpg,,,Infinity,"Infinity, Infinity, Infinity",Mess,89,"Well, it certainly looks like a mess!",2025-07-23T23:11:58.755733+00:00
68,68/68_1.jpg,,,Easter,Easter,Border crossing,75,"The ladder and figures suggest people crossing a border, maybe illegally.",2025-07-24T18:07:21.721111+00:00
57,57/57_5.jpg,,,firefighter,"Firefighter, Sailor, A man",illustrator,82,The drawing style makes me think of an illustrator.,2025-07-24T18:10:22.5754+00:00
60,60/60_7.jpg,,,croissant,"Croissant, Poop, Crossiant, Croissant",ravioli,70,"The shapes look like ravioli, all squished together.",2025-07-25T18:23:08.717175+00:00
60,60/60_8.jpg,,,sushi,"Eggs, Pancake, Sushi, Sferes orbiting sferes tomoros",bagel,80,It looks like a bagel!,2025-07-25T18:47:46.911029+00:00
56,56/56_5.jpg,,,hugging,"Happy, Fight, Hug, Hugging",directing,55,Looks like someone is giving instructions or guidance!,2025-07-25T19:54:51.147228+00:00
57,57/57_6.jpg,,,fisherman,"Fisher, Fisherman, Fishing",writer,80,"Looks like someone writing at a desk, maybe a writer?",2025-07-26T21:54:19.084662+00:00
72,72/72_6.jpg,,,Indiana Jones,"Indiana jones, Indiana jones, Indana jones",Indonesia,85,"Well, they spelled it out for us, didn't they?",2025-07-27T18:24:42.430444+00:00
59,59/59_8.jpg,,,sewer,"Bench, Ttfjfgvi, Sewer, Bridge",seaside,60,It looks like a seaside with a cart on the beach.,2025-07-27T23:29:25.579748+00:00
56,56/56_6.jpg,,,farting,"Defecate, Dancing, Farting",creating,88,The person seems to be making something with their hands.,2025-07-28T22:17:35.058099+00:00
56,56/56_7.jpg,,,destroying,"Pac man, Pac man, Destroying, Pac man",chomping,79,It's chomping away at those dots!,2025-07-29T18:07:47.630177+00:00
56,56/56_8.jpg,,,jumping,"Weirdo, Jumping, Jumping, Feet  ",gliding,82,Looks like someone is gliding across the ice!,2025-07-30T19:35:39.769196+00:00
55,55/55_5.jpg,,,fly,"Fly, Alian ?, Seagulls, Forest",mosquito,40,Looks like a mosquito buzzing around!,2025-07-30T23:00:54.001456+00:00
71,71/71_4.jpg,,,Animal Crossing,"Crosing road, Animal crossing, Crossy road, Crossy road",Need for Speed,45,"Looks like a road and some cars, could be a racing game!",2025-07-31T20:16:18.321823+00:00
60,60/60_9.jpg,,,pizza,"Pizza, Pepperoni pizza",sponge,80,Looks like a sponge with holes!,2025-08-01T22:47:23.104212+00:00
56,56/56_9.jpg,,,yelling,"Yelling, Yelling",studying,80,Looks like someone is studying notes in a book.,2025-08-02T18:34:33.035666+00:00
71,71/71_5.jpg,,,Guitar Hero,"Guitar hero, Guitar hero, Chutes and ladders",Block Puzzle,65,It looks like a block puzzle game.,2025-08-03T00:46:37.365961+00:00
65,65/65_3.jpg,,,Ireland,"Ireland, Jamaica, Switzerland, Do not enter",Ecuador,10,It looks like a package from Ecuador.,2025-08-03T20:29:26.467529+00:00
59,59/59_9.jpg,,,garden,"Not a place ⚔️🗡️⚔️🗡️⚔️🗡️⚔️⚔️🗡️⚔️⚔️🗡, 🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽, Z, Garden",ravine,60,The lines look like the steep sides of a ravine.,2025-08-03T22:03:25.926586+00:00
65,65/65_4.jpg,,,Iceland,"Iceland, POOP POtato, Iceland, Iceland",Greece,8,The circle reminds me of the sun and the pointy shapes of mountains.,2025-06-13T21:02:30.218292+00:00
71,71/71_6.jpg,,,Super Mario Bros.,"Super mario bros, Mario, Super mario bros, Mario",Terraria,34,The blocky figure and bag remind me of resource gathering.,2025-06-13T23:29:46.599149+00:00
61,61/61_7.jpg,,,chess,"Chess, Chess, Chess",cage,82,"It looks like a cage, maybe for a pet?",2025-06-15T19:29:58.352567+00:00
55,55/55_6.jpg,,,caterpillar,"Caterpillar, Slug and butterfly, Worm, Caterpillar",sea cucumber,82,It looks like a sea cucumber!,2025-06-16T22:03:40.143534+00:00
61,61/61_8.jpg,,,nuclear weapon,"Sky island, Nuclear weapon, Umbrella",octopus,80,It looks like an octopus!,2025-06-16T23:18:50.85073+00:00
72,72/72_7.jpg,,,Snow White,"Sleeping beauty, Frozen, Snow white",Ice Age,60,The snowflake-like drawing makes me think of a certain icy movie!,2025-06-18T01:46:10.371588+00:00
55,55/55_7.jpg,,,penguin,"Penguin, Penguin, Penguin, Penguin",mouse,80,Looks like a cute little mouse with a round body!,2025-06-18T02:40:44.631458+00:00
65,65/65_5.jpg,,,United Kingdom,"Uk flag, United kingdom",England,80,The crown looks like a royal crown!,2025-06-18T03:12:00.709871+00:00
72,72/72_8.jpg,,,Shrek,"Shreik, Shrek, Alian, Shrek",Karate Kid,34,The stance looks like he is ready to fight!,2025-06-20T22:14:06.975572+00:00
68,68/68_2.jpg,,,Easter,"Human rabbit, Play, Lilo and stich, Easter",Power dynamics,81,"The size difference screams power imbalance, doesn't it?",2025-06-21T21:16:15.916406+00:00
68,68/68_3.jpg,,,Mothers day,"Couple, No idea, Mothers day, Gift",Celebration,40,Looks like a celebration of some sort with gifts and flowers!,2025-06-21T22:05:17.71366+00:00
59,59/59_10.jpg,,,cafe,"Cafe, Cat, Coffee, Yosemite",turtle shell,80,Looks like a turtle shell!,2025-06-22T19:53:03.391524+00:00
64,64/64_3.jpg,,,Sony,"Sony, Espn, LCD, TV",Twitch,44,"Two people on a screen, maybe streaming on Twitch?",2025-06-22T20:14:02.678982+00:00
60,60/60_10.jpg,,,almond,"Corn, Seed, A., Almond",olive,85,"It looks like an olive, maybe a green one?",2025-06-22T20:22:05.184609+00:00
72,72/72_9.jpg,,,Superman,"Superman, Super man, Superman, Superman",The Fly,30,The antennae-like features make me think of an insect.,2025-06-22T23:19:49.049086+00:00
60,60/60_11.jpg,,,tomato,"Grapefruit, Tomato, Tomatoe",fruit,55,It generally looks like a fruit cut into segments.,2025-06-23T19:28:46.979121+00:00
57,57/57_7.jpg,,,miner,"Miner, Miner, Im not putting anything in, Miner",sailor,65,"That hat looks like a sailor's hat, and those lines could be the sea!",2025-06-23T21:27:48.769845+00:00
72,72/72_10.jpg,,,Shrek,"Shrek, Walle, A dog with a tennis ball and a jar",Air Bud,89,A dog playing basketball? That's gotta be Air Bud!,2025-06-24T18:49:13.801665+00:00
56,56/56_10.jpg,,,eating,"Eating, Kid in diper trying to get poo, Food, Reaching",scaling,80,"Looks like someone is scaling a wall, or maybe a fridge? Hmm…",2025-06-24T20:27:04.224566+00:00
72,72/72_11.jpg,,,The Lion King,"The lion king, Thelionking, Wertygjbbnn b",Poseidon,80,The drawing looks like someone is at the front of a ship!,2025-06-26T18:40:06.851018+00:00
55,55/55_8.jpg,,,cow,"Bhhhgy, What!, Cow, Cow",worm,30,It looks like a worm in a pile of dirt.,2025-06-26T18:46:10.395908+00:00
55,55/55_9.jpg,,,goldfish,"Goldfish, Squirrel, Lion",squid,55,It looks like a squid with many tentacles.,2025-06-26T21:43:03.976963+00:00
67,67/67_0.jpg,,,Bowling,"Softball, Soccer, Bowling, Cookie",Football,70,It looks like a football with a box next to it.,2025-06-26T23:05:36.092645+00:00
71,71/71_7.jpg,,,Portal,"Pac Man, Portal, Billiards, ?",Puzzle Bobble,72,"It looks like bubbles in a box, so maybe Puzzle Bobble?",2025-06-27T23:33:36.144523+00:00
59,59/59_11.jpg,,,prison,"Prism,   V jnml,., Prison",Funhouse,70,"It looks like a distorted image, like you'd see in a funhouse mirror!",2025-06-28T20:24:36.598707+00:00
60,60/60_12.jpg,,,steak,"Steak, Steak",chamomile tea,89,Chamomile tea is known for its calming effects and promoting sleep.,2025-06-28T22:28:55.305407+00:00
56,56/56_11.jpg,,,drawing,"Doodle, Orbiting, Drawing",swirling,88,The image is literally a bunch of swirls!,2025-06-29T17:38:05.143789+00:00
59,59/59_12.jpg,,,parking lot,"Parking lot?, Parkinglot, Parking lot, Parking lot",daycare,56,Looks like a daycare center with toys!,2025-06-29T22:26:56.825143+00:00
56,56/56_12.jpg,,,crying,"Crying, Crying, Crying",storing,80,"It looks like a drawer, so maybe someone is storing something.",2025-06-29T22:33:13.620075+00:00
64,64/64_4.jpg,,,TikTok,"Rolex, Tiktok, Rolex, Apple",Swatch,67,"It looks like a simple clock, so maybe a simple watch brand?",2025-07-01T21:00:39.622638+00:00
57,57/57_8.jpg,,,plumber,"Plumber, Plumber, Washing hands, Washing face",patient,70,The person could be a patient at a dentist or doctor's office.,2025-07-01T22:35:35.717716+00:00
72,72/72_12.jpg,,,Superman,"Superman, Superman, Hockey player",Robot,60,It looks like a sad robot.,2025-07-02T20:46:40.437071+00:00
60,60/60_13.jpg,,,chicken nugget,"Chickennugget, Chicken nugget, Chicken nuggets!, Chicken nugget",pear,34,Looks like a pear that's been squished a bit.,2025-07-02T20:55:19.651452+00:00
60,60/60_14.jpg,,,chicken nugget,"Chicken nugget, Chicken nugget, Chickennugget, Chicken nn ",brownie,79,It looks like a warm brownie with steam rising from it.,2025-07-02T21:07:16.070552+00:00
72,72/72_13.jpg,,,Black Panther,"Black panther, Black panther, Black panther, Black panther",Cats,89,"It says cats, so I'm going with Cats!",2025-07-03T18:37:04.139695+00:00
55,55/55_10.jpg,,,mosquito,"Mosquito, Misquto, Firefly, Beetle",tick,80,It looks like a tick.,2025-07-03T21:43:03.163614+00:00
65,65/65_6.jpg,,,Brazil,Brazil,New Zealand,9,"The shape is like a rectangle, and New Zealand is a country!",2025-07-04T19:05:21.349605+00:00
65,65/65_7.jpg,,,Venezuela,"Toilet, ?, Venezuela, Venuala",Korea,30,The lines remind me of Korean calligraphy!,2025-07-04T20:02:30.766864+00:00
61,61/61_9.jpg,,,toilet,"Toilet, Tralalero tra la la, Shark with shoes, Toilet",creature,45,Looks like some kind of weird creature with a fin and legs.,2025-07-05T20:20:18.784557+00:00
55,55/55_11.jpg,,,cat,"Cat, Banny, Cat, Mouse",blobfish,80,It looks like a blobfish!,2025-07-05T23:04:49.683708+00:00
55,55/55_12.jpg,,,stingray,"Stingray, Stingray, Stingray, Stingray",blobfish,82,It looks like a blobfish!,2025-07-06T19:44:11.07918+00:00
71,71/71_8.jpg,,,Angry Birds,"Angry birds, Idk, Pac man, Angry birds",Life,30,It looks like a game of life!,2025-07-06T21:33:11.424324+00:00
59,59/59_13.jpg,,,farm,"Farm, Barn, House, House",shed,55,Looks like a simple shed.,2025-07-06T22:33:29.685127+00:00
57,57/57_9.jpg,,,composer,"Conductor, Magician, Composer, Conducter",performer,75,"It looks like a performer on stage, belting out a tune or acting!",2025-07-07T23:39:32.491623+00:00
59,59/59_14.jpg,,,park,"Park, Airport, Bali hai restraunr, Beach",watchtower,55,It looks like a watchtower!,2025-07-08T22:40:27.64072+00:00
61,61/61_10.jpg,,,vacuum,Vacuum,desk,80,Looks like a desk with a monitor attached.,2025-07-09T17:15:04.152097+00:00
69,69/69_1.jpg,,,drone,"Bone blossom from grow a garden, Drobe, Drone, Drone",Singularity,88,The scribbles look like everything collapsing into a single point!,2025-07-09T20:03:00.197671+00:00
59,59/59_15.jpg,,,pool,"Mountains, Pool",tent,80,It looks like a tent.,2025-07-09T22:23:00.545575+00:00
61,61/61_11.jpg,,,diaper,Diaper,face,60,It looks like a distorted face with scribbles on top.,2025-07-10T18:33:53.870157+00:00
65,65/65_8.jpg,,,South Korea,"Yourup, United state, Usa, South korea",Oman,45,The word 'Oman' is also in the middle of the drawing. Is it Oman?,2025-07-10T20:07:56.959011+00:00
60,60/60_15.jpg,,,watermelon,Watermelon,fruit juice,60,Looks like a drop of water being added to a fruit. Fruit juice!,2025-07-12T17:24:11.937182+00:00
56,56/56_13.jpg,,,opening,"Cutting the ribbon, A race, Playing, Opening",carving,80,Looks like someone is carving something with a tool!,2025-07-12T18:50:07.534912+00:00
60,60/60_16.jpg,,,butter,"Butter, Butter, Popcorn, butter",cracker,82,Looks like a box of crackers to me!,2025-07-12T23:48:19.651035+00:00
68,68/68_4.jpg,,,Monarchy,"Monarchy, Answer, Monarchy",Love,82,The butterfly and '+y' makes me think of love!,2025-06-13T21:31:12.667738+00:00
60,60/60_17.jpg,,,popcorn,"Soda, Taco, Popcorn!!!",milkshake,82,It looks like a milkshake with whipped cream on top!,2025-06-13T21:57:07.03502+00:00
59,59/59_16.jpg,,,garbage dump,Garbage dump,coffee shop,82,"It looks like a cup of coffee and a table, so maybe a coffee shop?",2025-06-21T02:09:48.048782+00:00
59,59/59_17.jpg,,,tunnel,"Tunnel, Tunnel, Hiding place, Blackhole?",panic room,88,Looks like a place to hide in a panic!,2025-06-27T04:56:19.680535+00:00
56,56/56_14.jpg,,,playing,"Playing, Playign, Amongus, A person in room",scribbling,89,"Well, someone's definitely scribbling!",2025-06-28T22:05:35.261862+00:00
59,59/59_18.jpg,,,gas station,Gas station,scrapyard,70,It looks like a scrapyard with a vehicle moving scrap metal.,2025-07-04T02:03:47.993815+00:00
61,61/61_12.jpg,,,book,"BoOK, Book, Book, Book",boombox,60,It kind of looks like a boombox with speakers!,2025-07-09T19:00:13.697942+00:00
57,57/57_10.jpg,,,astronaut,"Astronaut, Astronaut, Umugus, Astronaut",joker,72,The chaotic lines and face remind me of a joker card.,2025-07-09T22:16:09.384123+00:00
71,71/71_9.jpg,,,Space Invaders,"Space invaders, Galaga, Dig dug",Roblox,72,The blocky figure at the bottom reminds me of a character in Roblox.,2025-05-28T02:25:26.387093+00:00
70,70/70_0.jpg,,,Hokusai,"Hokusai, House",Takashi Murakami,78,Hmm... the smiling face and the overall cartoonish style remind me of Murakami!,2025-06-18T21:13:18.634059+00:00
71,71/71_10.jpg,,,Final Fantasy,"Game, Minecraft, Minie mouse, Final fantasy",Blockland,70,The blocky shape and 'Min' writing could be Blockland.,2025-07-22T23:56:33.07648+00:00
59,59/59_19.jpg,,,sewer,"Sewer, Video game, Nintendo world, Mario",Playground,88,"The character looks like a child, which you often find in a playground.",2025-07-27T23:42:35.792117+00:00
55,55/55_13.jpg,,,panda,"Panda, Cat, Dog",unicorn,90,It looks like a unicorn!,2025-06-20T20:25:42.798528+00:00
56,56/56_15.jpg,,,drinking,"Making popcorn, A human, Drinking, Shopping",studying,80,Looks like the stick figure is hitting the books!,2025-06-25T20:26:48.036135+00:00
72,72/72_14.jpg,,,Iron Man,"Iron man, Dinosor",Shark Tale,45,Looks like a shark in a bubble!,2025-06-18T20:56:51.560828+00:00
72,72/72_15.jpg,,,Superman,"Superman, Superman, Super man, Supperman",The Fly,33,The scribbles make me think of a fly.,2025-06-29T19:24:48.364505+00:00
72,72/72_16.jpg,,,Aladdin,"Scarf, Aladdin, Alladin",Scarf Face,89,"The drawing literally says Scarf, so Scarf Face!",2025-07-09T19:02:16.106908+00:00
59,59/59_20.jpg,,,swamp,"Ocean, Fish, Somp, Swamp",underwater cave,40,It looks like an underwater cave with a creature lurking inside!,2025-07-11T20:02:17.285785+00:00
59,59/59_21.jpg,,,hospital,"Hospitol, Hospitals suck!, Hospital, Heb",motel,80,It looks like a motel with the 'H' on top!,2025-07-12T22:58:14.525642+00:00
71,71/71_11.jpg,,,Gears Of War,"Gears of war, Gears of wear, Gears of war, Gears of war",Doom,70,"It looks like a gun, so I'm going with Doom!",2025-07-16T21:30:25.486738+00:00
57,57/57_11.jpg,,,fortune teller,"Fortune teller, Fortune teller, Fortune teller",coder,80,Looks like a computer with a messy desk. Maybe a coder?,2025-07-29T21:00:50.727516+00:00
56,56/56_16.jpg,,,dribbling,"Basketbsll, Dribbling",playing,88,Looks like the stick figures are playing with a ball!,2025-06-27T01:50:38.711855+00:00
60,60/60_18.jpg,,,watermelon,"French fries, Watermelon",sandwich,15,The shape could be a sandwich with lots of fillings.,2025-07-12T17:36:20.213385+00:00
57,57/57_12.jpg,,,magician,"Tinkerbell, G, Tree man, Magician",,,,2025-07-14T22:11:41.59204+00:00
60,60/60_19.jpg,,,bubble gum,"Bubble gum, Bubble gum, Bubble gum",,,,2025-07-14T23:52:03.472057+00:00
65,65/65_9.jpg,,,Finland,"Scrible, Finland, Us, Finland",,,,2025-07-16T21:22:09.970605+00:00
59,59/59_22.jpg,,,school,"School, School, School, U r lame",,,,2025-07-16T21:28:19.620243+00:00
60,60/60_20.jpg,,,lettuce,"Lettuce, Popcorn, Popcorn, Ice cream",,,,2025-07-17T18:20:57.77762+00:00
59,59/59_23.jpg,,,campsite,"Funny farm, Golden gate bridge, Campsite",,,,2025-07-17T19:41:02.19469+00:00
55,55/55_14.jpg,,,owl,Owl,tick,80,"Looks like a tick carrying a backpack, ready for a hike!",2025-06-05T20:53:01.618683+00:00
60,60/60_21.jpg,,,corn,Corn,cotton candy,89,"It looks like a big, fluffy cloud of cotton candy!",2025-06-09T23:07:25.845076+00:00
65,65/65_10.jpg,,,Italy,Italy,New Zealand,10,"The shape reminds me of the kiwi bird, which is native to New Zealand.",2025-07-04T02:48:45.109539+00:00
61,61/61_13.jpg,,,leaf,"Net, fishing net, Leaf, IDk",fishing bobber,75,It looks like a fishing bobber floating on the water.,2025-06-15T21:09:20.765949+00:00
61,61/61_14.jpg,,,eraser,"Eraser, Camera, Pink pearl",pink paper,80,It looks like a pink paper with some scribbles on it.,2025-06-21T23:53:25.412763+00:00
60,60/60_22.jpg,,,banana,"..., Banana, Bnana, Banana",noodles,82,It looks like noodles hanging from a rack to dry.,2025-06-30T22:31:53.925071+00:00
71,71/71_12.jpg,,,Minecraft,Minecraft,Elden Ring,40,The character looks like he is from Elden Ring.,2025-06-11T19:19:28.410202+00:00
55,55/55_15.jpg,,,koala,"Labubu, Koala, Koala",teddy bear,60,"Looks like a teddy bear, ready for a hug!",2025-08-01T02:06:25.328203+00:00
64,64/64_5.jpg,,,Walmart,"Shoe, Race car, Walmart",Sketchers,70,Looks like a Sketchers shoe!,2025-06-13T18:28:29.256472+00:00
65,65/65_11.jpg,,,Spain,"Spain, Spain",Vietnam,9,"The shape is vaguely like Vietnam, maybe?",2025-06-11T23:22:53.222066+00:00
72,72/72_17.jpg,,,Minions,Minions,Poseidon,10,"The scribbled drawing could be a trident in the ocean, maybe?",2025-06-13T19:35:38.477602+00:00
56,56/56_17.jpg,,,voting,"Voting, Pressing a button, Playing computer",working,82,The stick figure is working hard at the typewriter!,2025-06-13T19:46:23.221101+00:00
57,57/57_13.jpg,,,scientist,"Scientist, Nerd, Scientist, Shearif",lecturer,70,Lecturers often cite sources in their lectures.,2025-06-13T20:31:10.720993+00:00
55,55/55_16.jpg,,,mouse,"Mouse, Mouse, Repeat",myna,82,Myna birds are known for repeating sounds and mimicking human speech.,2025-06-13T21:29:24.149383+00:00
